part_id,occurrence_count,sum_qty,optimal_value
1321,5,4.0,0.8
1323,5,9.0,1.8
1324,16,19.5,1.21875
1325,1,0.6,0.6
1326,84,108.45,1.2910714285714286
1327,1,2.0,2.0
1328,6,48.0,8.0
1329,10,11.0,1.1
1330,8,22.0,2.75
1332,74,85.45,1.1547297297297299
1333,19,17.5,0.9210526315789473
1334,135,370.0,2.740740740740741
1335,23,45.0,1.9565217391304348
1336,10,15.75,1.575
1337,9,13.5,1.5
1338,2,3.0,1.5
1341,7,7.25,1.0357142857142858
1342,8,7.5,0.9375
1343,4,7.95,1.9875
1345,1,3.5,3.5
1346,2,2.0,1.0
1347,2,5.0,2.5
1348,26,29.0,1.1153846153846154
1350,3,3.0,1.0
1351,1,1.5,1.5
1355,8,20.0,2.5
1369,219,111.0,0.5068493150684932
